Num,Name,Use Case,Testing_Type,Type,Install command,Version,Last_version_release_date,Start_version,Start_version_release_date,Pypi url,Documentation,Github
27,ibis-framework,Dataset querying,Unit-test,New_Version,pip install ibis-framework,6.1.0,2023-08-03,0.3.0,2015-07-20,https://pypi.org/project/ibis-framework/,https://ibis-project.org/,https://github.com/ibis-project/ibis.git
28,json-tricks,deal with json,Unit-test,New_Version,pip install json-tricks,3.17.3,2023-08-19,1,2015-11-07,https://pypi.org/project/json-tricks/,https://json-tricks.readthedocs.io/en/latest/,https://github.com/mverleg/pyjson_tricks.git
29,pytorch-lightning,deep learning framework for pytorch,Manual,New_Version,pip install pytorch-lightning,2.0.7,2023-08-16,0.0.2,2019-03-31,https://pypi.org/project/pytorch-lightning/,https://lightning.ai/docs/pytorch/latest/,https://github.com/Lightning-AI/lightning.git
30,rapidfuzz,string matching,Unit-test,New_Version,pip install rapidfuzz,3.2.0,2023-08-02,0.0.6,2020-03-18,https://pypi.org/project/rapidfuzz/,https://maxbachmann.github.io/RapidFuzz/index.html,https://github.com/maxbachmann/RapidFuzz.git
31,mlflow, managing the end-to-end machine learning lifecycle,Manual,New_Version,pip install mlflow,2.6.0,2023-08-15,0.0.1,2018-06-04,https://pypi.org/project/mlflow/,https://mlflow.org/docs/latest/index.html,https://github.com/mlflow/mlflow.git
32,more-itertools,"building blocks, recipes, and routines for working with Python iterables",Unit-test,New_Version,pip install more-itertools,10.1.0,2023-08-03,1,2012-04-26,https://pypi.org/project/more-itertools/,https://more-itertools.readthedocs.io/en/stable/index.html,https://github.com/more-itertools/more-itertools.git
33,optuna,A hyperparameter optimization framework,Manual,New_Version,pip install optuna,3.3.0,2023-08-07,0.0.1,2018-10-19,https://pypi.org/project/optuna/,https://optuna.readthedocs.io/en/stable/,https://github.com/optuna/optuna.git
34,plotly,"makes interactive, publication-quality graphs.",Manual,New_Version,pip install plotly,5.16.1,2023-08-16,0.2,2013-06-12,https://pypi.org/project/plotly/,https://plotly.com/python/,https://github.com/plotly/plotly.py.git
35,polars, lightning fast DataFrame library,Unit-test,New_Version,pip install polars,0.18.15,2023-08-15,0.0.1,2021-03-15,https://pypi.org/project/polars/,https://pola-rs.github.io/polars/py-polars/html/reference/index.html,https://github.com/pola-rs/polars.git
36,Pygments,generic syntax highlighter,Unit-test,New_Version,pip install Pygments,2.16.1,2023-08-06,0.5,2006-10-30,https://pypi.org/project/Pygments/,https://pygments.org/docs/,https://github.com/pygments/pygments.git
37,pypdf,PDF library,Manual,New_Version,pip install pypdf,3.15.2,2023-08-20,1,2006-01-18,https://pypi.org/project/pypdf/,https://pypdf.readthedocs.io/en/latest/,https://github.com/py-pdf/pypdf.git
38,holidays,country specific sets of government-designated holidays,Unit-test,New_Version,pip install holidays,0.3,2023-08-07,0.1,2014-08-28,https://pypi.org/project/holidays/,https://python-holidays.readthedocs.io/en/latest/,https://github.com/vacanza/python-holidays.git
39,jsonschema,annotate and validate JSON documents,Unit-test,New_Version,pip install jsonschema,4.19.0,2023-08-07,0.1a,2012-01-02,https://pypi.org/project/jsonschema/,https://python-jsonschema.readthedocs.io/en/stable/,https://github.com/python-jsonschema/jsonschema.git
40,validators,Python Data Validation for Humans,Unit-test,New_Version,pip install validators,0.21.2,2023-08-11,0.1.0,2013-10-17,https://pypi.org/project/validators/,https://python-validators.github.io/validators/,https://github.com/python-validators/validators.git
41,rich, writing rich text (with color and style) to the terminal,Unit-test,New_Version,pip install rich,13.5.2,2023-08-01,0.1.0,2019-11-10,https://pypi.org/project/rich/,https://rich.readthedocs.io/en/latest/,https://github.com/Textualize/rich.git
42,spacy,Strength Natural Language Processing,Manual,New_Version,pip install spacy,3.6.1,2023-08-08,0.3,2015-01-25,https://pypi.org/project/spacy/,https://spacy.io/,https://github.com/explosion/spaCy.git
43,stumpy, computes something called the matrix profile for time series,Manual,New_Version,pip install stumpy,1.12.0,2023-08-21,0.1,2019-05-04,https://pypi.org/project/stumpy/,https://stumpy.readthedocs.io/en/latest/#,https://github.com/TDAmeritrade/stumpy.git
44,tox,automate and standardize testing in Python,Unit-test,New_Version,pip install tox,4.9.0,2023-08-16,0.0.0,2018-10-07,https://pypi.org/project/tox/,https://tox.wiki/en/4.11.1/,https://github.com/tox-dev/tox.git
45,pymc,work on Probabilistic Programming,Manual,New_Version,pip install pymc,5.7.2,2023-08-09,2,2009-01-05,https://pypi.org/project/pymc/,https://www.pymc.io/projects/docs/en/stable/learn.html,https://github.com/pymc-devs/pymc.git
46,SQLAlchemy,Python SQL toolkit and Object Relational Mapper,Unit-test,New_Version,pip install SQLAlchemy,2.0.20,2023-08-15,0.1.0,2006-02-14,https://pypi.org/project/SQLAlchemy/,https://www.sqlalchemy.org/,https://github.com/sqlalchemy/sqlalchemy.git
47,tensorflow, constructing and executing a TensorFlow graph.,Manual,New_Version,pip install tensorflow,2.13.0,2023-07-05,0.12.0,2016-12-19,https://pypi.org/project/tensorflow/,https://www.tensorflow.org/api_docs,https://github.com/tensorflow/tensorflow.git
48,numpy,scientific computing,Unit-test,New_Version,pip install numpy,1.25.2,2023-07-31,0.9.6,2006-03-14,https://pypi.org/project/numpy/,https://numpy.org/doc/1.25/,https://github.com/numpy/numpy.git
49,scikit-learn ,Simple and efficient tools for predictive data analysis,Manual,New_Version,pip install scikit-learn,1.3.0,2023-06-30,0.9,2011-09-21,https://pypi.org/project/scikit-learn/,https://scikit-learn.org/stable/index.html,https://github.com/scikit-learn/scikit-learn.git
50,pandas,data structures and data analysis tools ,Manual,New_Version,pip install pandas,2.1.0,2023-08-30,0.1,2009-12-25,https://pypi.org/project/pandas/,https://pandas.pydata.org/docs/,https://github.com/pandas-dev/pandas.git
