name,version,install_command,release_date,release_year,old_version,old_release_date,old_release_year,url,documentation
types-s3transfer,0.6.2,pip install types-s3transfer,2023-08-16,2023,0.6.0,2022-07-13,2022,https://pypi.org/project/types-s3transfer/,
rich-argparse,1.3.0,pip install rich-argparse,2023-08-19,2023,0.1.0,2022-09-03,2022,https://pypi.org/project/rich-argparse/,
ruff,0.0.285,pip install ruff,2023-08-17,2023,0.0.13,2022-08-27,2022,https://pypi.org/project/ruff/,
gradio-client,0.4.0,pip install gradio-client,2023-08-10,2023,0.0.1,2023-03-09,2023,https://pypi.org/project/gradio-client/,
sphinxcontrib-jquery,4.1,pip install sphinxcontrib-jquery,2023-03-14,2023,1.0.0,2022-10-17,2022,https://pypi.org/project/sphinxcontrib-jquery/,
ultralytics,8.0.158,pip install ultralytics,2023-08-20,2023,0.0.13,2022-04-04,2022,https://pypi.org/project/ultralytics/,
tiktoken,0.4.0,pip install tiktoken,2023-05-07,2023,0.1.1,2022-12-15,2022,https://pypi.org/project/tiktoken/,
diffusers,0.20.0,pip install diffusers,2023-08-17,2023,0.0.1,2022-05-30,2022,https://pypi.org/project/diffusers/,https://huggingface.co/docs/diffusers/index
jsonschema-spec,0.2.4,pip install jsonschema-spec,2023-08-16,2023,0.1.0,2022-08-29,2022,https://pypi.org/project/jsonschema-spec/,
somnium,9.9.1,pip install somnium,2023-06-10,2023,6.9.6,2023-04-14,2023,https://pypi.org/project/somnium/,
resize-right,0.0.2,pip install resize-right,2022-05-05,2022,0.0.1,2022-05-05,2022,https://pypi.org/project/resize-right/,
pynut3,1.4.4,pip install pynut3,2023-08-13,2023,0.0.0,2022-11-02,2022,https://pypi.org/project/pynut3/,
hatch-fancy-pypi-readme,23.1.0,pip install hatch-fancy-pypi-readme,2023-05-22,2023,22.1.0,2022-08-05,2022,https://pypi.org/project/hatch-fancy-pypi-readme/,
bitsandbytes,0.41.1,pip install bitsandbytes,2023-08-04,2023,0.31.8,2022-08-09,2022,https://pypi.org/project/bitsandbytes/,
tomesd,0.1.3,pip install tomesd,2023-05-14,2023,0.1.1,2023-04-02,2023,https://pypi.org/project/tomesd/,
py-partiql-parser,0.3.7,pip install py-partiql-parser,2023-08-01,2023,0.0.1,2023-03-19,2023,https://pypi.org/project/py-partiql-parser/,
oracledb,1.4.0,pip install oracledb,2023-08-16,2023,1.0.0,2022-05-25,2022,https://pypi.org/project/oracledb/,
aws-cdk.asset-awscli-v1,2.2.200,pip install aws-cdk.asset-awscli-v1,2023-07-03,2023,0.0.0,2022-09-23,2022,https://pypi.org/project/aws-cdk.asset-awscli-v1/,
google-cloud-dataform,0.5.2,pip install google-cloud-dataform,2023-07-05,2023,0.1.0,2022-07-08,2022,https://pypi.org/project/google-cloud-dataform/,
open-clip-torch,2.20.0,pip install open-clip-torch,2023-05-15,2023,0.2.0,2022-04-04,2022,https://pypi.org/project/open-clip-torch/,
aws-cdk.asset-node-proxy-agent-v5,2.0.166,pip install aws-cdk.asset-node-proxy-agent-v5,2023-07-20,2023,2.0.0,2022-11-02,2022,https://pypi.org/project/aws-cdk.asset-node-proxy-agent-v5/,
evaluate,0.4.0,pip install evaluate,2022-12-13,2022,0.1.0,2022-05-31,2022,https://pypi.org/project/evaluate/,https://huggingface.co/docs/evaluate/index
clickhouse-connect,0.6.8,pip install clickhouse-connect,2023-07-18,2023,0.2.8,2022-09-21,2022,https://pypi.org/project/clickhouse-connect/,
argilla,1.14.1,pip install argilla,2023-08-16,2023,0.0.1,2022-10-06,2022,https://pypi.org/project/argilla/,https://docs.argilla.io/en/latest/
akinator.py,0.2.4,pip install akinator.py,2023-05-01,2023,0.1.1,2022-08-19,2022,https://pypi.org/project/akinator.py/,
langsmith,0.0.25,pip install langsmith,2023-08-18,2023,0.0.0rc0,2023-06-26,2023,https://pypi.org/project/langsmith/,
langchainplus-sdk,0.0.20,pip install langchainplus-sdk,2023-07-03,2023,0.0.1rc1,2023-05-31,2023,https://pypi.org/project/langchainplus-sdk/,
aws-cdk.asset-kubectl-v20,2.1.2,pip install aws-cdk.asset-kubectl-v20,2023-06-15,2023,0.0.0,2022-09-21,2022,https://pypi.org/project/aws-cdk.asset-kubectl-v20/,
elevenlabs,0.2.24,pip install elevenlabs,2023-08-07,2023,0.0.1,2023-02-15,2023,https://pypi.org/project/elevenlabs/,
bc-detect-secrets,1.4.30,pip install bc-detect-secrets,2023-08-03,2023,1.3.2,2022-09-21,2022,https://pypi.org/project/bc-detect-secrets/,
tensorflow-intel,2.13.0,pip install tensorflow-intel,2023-07-05,2023,0.0.1,2022-07-01,2022,https://pypi.org/project/tensorflow-intel/,
