package_name,version_x,version_y,version,summary_x,license_x,metadata_source_x,summary_y,license_y,metadata_source_y,download_count
cligj,0.7.2,0.7.2,,Click params for command line interfaces to GeoJSON.,BSD 3-Clause,Anaconda,,,,5939744.0
cloudpickle,2.2.1,2.2.1,,Extended pickling support for Python objects,BSD-3-Clause,Anaconda,,,,28366780.0
cmake,3.27.2,,3.26.4,"CMake is an extensible, open-source system that manages the build process",BSD-3-Clause,Anaconda,,,,6394330.0
cmdstanpy,1.1.0,1.1.0,,,,,,,,2222663.0
colorcet,3.0.1,3.0.1,,Collection of perceptually uniform colormaps,CC-BY-4.0,Anaconda,,,,278789.0
colorlover,0.3.0,0.3.0,,,,,Color scales for IPython notebook,,PyPI,130142.0
community,1.0.0b1,,,,,,,,,
confection,0.1.1,0.1.0,,,,,,,,3069159.0
cons,0.4.6,,,,,,,,,123930.0
contextlib2,21.6.0,,,Backports and enhancements for the contextlib module,PSF-2.0 AND Apache-2.0,Anaconda,,,,11699650.0
contourpy,1.1.0,1.1.0,,Python library for calculating contours of 2D quadrilateral grids.,BSD-3-Clause,Anaconda,,,,13995875.0
convertdate,2.4.0,2.4.0,,,,,Converts between Gregorian dates and other calendar systems.,MIT,PyPI,3678224.0
cryptography,41.0.3,41.0.1,41.0.1,Provides cryptographic recipes and primitives to Python developers,(BSD-3-Clause OR Apache-2.0) AND PSF-2.0 AND MIT,Anaconda,,,,162597848.0
cufflinks,0.17.3,0.17.3,,,,,Productivity Tools for Plotly + Pandas,MIT,PyPI,101529.0
cvxopt,1.3.2,,,Convex optimization package,GPL-3.0-or-later,Anaconda,,,,180778.0
cvxpy,1.3.2,,,,,,A domain-specific language for modeling convex optimization problems in Python.,"Apache License, Version 2.0",PyPI,447005.0
cycler,0.11.0,0.11.0,0.11.0,Composable style cycles.,BSD-3-Clause,Anaconda,,,,22454631.0
cymem,2.0.7,2.0.7,,,,,Manage calls to calloc/free through Cython,MIT,PyPI,3721555.0
dask,2023.8.0,2023.7.0,,Parallel PyData with Task Scheduling,BSD-3-Clause,Anaconda,,,,7519222.0
datascience,0.17.6,,,,,,,,,
db-dtypes,1.1.1,1.1.1,,,,,,,,9462234.0
dbus-python,1.2.18,,1.2.18,,,,,,,107054.0
