package_name,version_x,version_y,version,summary_x,license_x,metadata_source_x,summary_y,license_y,metadata_source_y,download_count
quantities,,0.14.1,,,,,,,,
randomgen,,1.23.1,,,,,Random generator supporting multiple PRNGs,NCSA,PyPI,
rapidfuzz,,3.1.1,3.1.1,,,,,,,14462229.0
rasterio,,1.3.8,,Rasterio reads and writes geospatial raster datasets,BSD-3-Clause,Anaconda,,,,1546618.0
rasterstats,,0.19.0,,,,,,,,
ray,,2.5.1,,,,,A system for parallel and distributed Python that unifies the ML ecosystem.,Apache 2.0,PyPI,1986643.0
ray-cpp,,2.5.1,,,,,,,,
requests-toolbelt,,0.10.1,,,,,,,,41899366.0
responses,,0.18.0,,A utility library for mocking out the `requests` Python library.,Apache 2.0,Anaconda,,,,8303214.0
retrying,,1.3.4,,,,,Retrying,Apache 2.0,PyPI,8512590.0
rfc3339-validator,,0.1.4,0.1.4,A pure python RFC3339 validator,MIT,Anaconda,,,,10434550.0
rfc3986-validator,,0.1.1,0.1.1,Pure python rfc3986 validator,MIT,Anaconda,,,,7376552.0
rgf-python,,3.12.0,,,,,Scikit-learn Wrapper for Regularized Greedy Forest,MIT License,PyPI,
rope,,1.9.0,,A python refactoring library,LGPL-3.0-or-later,Anaconda,,,,523513.0
ruamel-yaml-conda,,0.15.100,,,,,,,,
ruamel.yaml,,0.17.32,0.17.32,,,,,,,
ruamel.yaml.clib,,0.2.7,0.2.7,,,,,,,
s2sphere,,0.2.5,,,,,Python implementation of the S2 Geometry Library,MIT,PyPI,224837.0
s3fs,,2023.6.0,,Convenient Filesystem interface over S3,BSD-3-Clause,Anaconda,,,,128128472.0
s3transfer,,0.6.1,0.3.7,,,,An Amazon S3 Transfer Manager,Apache License 2.0,PyPI,201417158.0
safetensors,,0.3.1,0.3.1,,,,,,,6459150.0
scattertext,,0.1.19,,,,,An NLP package to visualize interesting terms in text.,Apache 2.0,PyPI,
scikit-learn-intelex,,2023.1.1,,Intel(R) Extension for Scikit-learn is a seamless way to speed up your Scikit-learn application.,Apache-2.0 AND BSD-2-Clause AND BSD-3-Clause AND MIT,Anaconda,,,,215219.0
scikit-multilearn,,0.2.0,,,,,Scikit-multilearn is a BSD-licensed library for multi-label classification that is built on top of the well-known scikit-learn ecosystem.,BSD,PyPI,
scikit-optimize,,0.9.0,,,,,Sequential model-based optimization toolbox.,BSD,PyPI,489863.0
scikit-plot,,0.3.7,,,,,An intuitive library to add plotting functionality to scikit-learn objects.,MIT License,PyPI,417463.0
scikit-surprise,,1.1.3,,,,,An easy-to-use library for recommender systems.,GPLv3+,PyPI,122222.0
segment-anything,,1.0,,,,,,,,
segregation,,2.4.2,,,,,,,,
semver,,3.0.1,2.13.0,,,,,,,9908553.0
sentencepiece,,0.1.99,0.1.99,,,,SentencePiece python wrapper,Apache,PyPI,8922776.0
sentry-sdk,,1.27.1,1.25.1,,,,,,,14727423.0
setproctitle,,1.3.2,,,,,,,,6906934.0
setuptools-git,,1.2,,,,,Setuptools revision control system plugin for Git,BSD,PyPI,1455740.0
setuptools-scm,,7.1.0,,,,,,,,13802609.0
shap,,0.42.0,,,,,A unified approach to explain the output of any machine learning model.,MIT,PyPI,6481621.0
simpervisor,,1.0.0,,,,,,,,142290.0
simplejson,,3.19.1,3.19.1,"Simple, fast, extensible JSON encoder/decoder for Python",MIT,Anaconda,,,,17055156.0
slicer,,0.0.7,,,,,,,,5822914.0
smhasher,,0.150.1,,,,,Python extension for smhasher hash functions,UNKNOWN,PyPI,
smmap,,5.0.0,,,,,,,,30532178.0
snuggs,,1.4.7,,Snuggs are s-expressions for NumPy,MIT,Anaconda,,,,1419294.0
spaghetti,,1.7.4,,,,,,,,
spectral,,0.23.1,,,,,Spectral Python (SPy) is a Python module for hyperspectral image processing.,GPL,PyPI,
spglm,,1.0.8,,,,,,,,
sphinx-rtd-theme,,0.2.4,,,,,Read the Docs theme for Sphinx,MIT,PyPI,3873743.0
spint,,1.0.7,,,,,,,,
splot,,1.1.5.post1,,,,,,,,
spopt,,0.5.0,,,,,,,,
spreg,,1.3.2,,,,,,,,
spvcm,,0.3.0,,,,,,,,
sqlglot,,17.3.0,,,,,,,,1631854.0
squarify,,0.4.3,,,,,Pure Python implementation of the squarify treemap layout algorithm,Apache v2,PyPI,160216.0
stack-data,,0.6.2,0.6.2,,,,,,,8683765.0
starlette,,0.27.0,,,,,,,,13910324.0
stemming,,1.0.1,,,,,,,PyPI,
stop-words,,2018.7.23,,,,,Get list of common stop words in various languages in Python,"Copyright (c) 2014, Alireza Savand, Contributors",PyPI,90940.0
stopit,,1.1.2,,,,,"Timeout control decorator and context managers, raise any exception in another thread",GPLv3,PyPI,153302.0
stumpy,,1.11.1,,,,,,,,146728.0
tangled-up-in-unicode,,0.2.0,,,,,,,,854973.0
tensorboard-plugin-profile,,2.13.0,,,,,,,,546729.0
tensorboardX,,2.6,,,,,TensorBoardX lets you watch Tensors Flow without Tensorflow,MIT license,PyPI,
tensorflow-addons,,0.20.0,,,,,,,,938915.0
tensorflow-cloud,,0.1.16,,,,,,,,
tensorflow-decision-forests,,1.4.0,,,,,,,,
tensorflow-io,,0.31.0,,,,,,,,1667753.0
tensorflow-serving-api,,2.12.1,,,,,,,,10294334.0
tensorflow-text,,2.12.1,,,,,,,,3513939.0
tensorflow-transform,,0.14.0,,,,,,,,658704.0
tensorflowjs,,3.15.0,,,,,,,,198126.0
tensorpack,,0.11,,,,,A Neural Network Training Interface on TensorFlow,Apache,PyPI,
testpath,,0.6.0,0.5.0,,,,,,,1367555.0
texttable,,1.6.7,,,,,,,,4503066.0
textwrap3,,0.9.2,,,,,,,,917867.0
timm,,0.9.2,,,,,,,,3201653.0
tobler,,0.10,,,,,,,,
tokenizers,,0.13.3,0.13.3,Fast State-of-the-Art Tokenizers optimized for Research and Production,Apache-2.0,Anaconda,,,,9903067.0
tomlkit,,0.11.8,,Style preserving TOML library,MIT,Anaconda,,,,22733049.0
torchinfo,,1.8.0,,,,,,,,
torchmetrics,,1.0.0,,,,,,,,3702406.0
traceml,,1.0.8,,,,,,,,109698.0
traittypes,,0.2.1,,,,,,,,259605.0
transformers,,4.30.2,4.30.2,"State-of-the-art Machine Learning for JAX, PyTorch and TensorFlow",Apache-2.0,Anaconda,,,,13114257.0
trueskill,,0.4.5,,,,,The video game rating system,BSD,PyPI,
tsfresh,,0.20.1,,,,,tsfresh extracts relevant characteristics from time series,MIT,PyPI,221348.0
typeguard,,2.13.3,,,,,,,,8957215.0
typing-inspect,,0.9.0,,,,,,,,17931805.0
typing-utils,,0.1.0,,,,,,,,387082.0
tzdata,,2023.3,,"The Time Zone Database (called tz, tzdb or zoneinfo)",CC-PDDC OR BSD-3-Clause,Anaconda,,,,25215401.0
ujson,,5.8.0,5.8.0,Ultra fast JSON decoder and encoder written in C with Python bindings,BSD-3-Clause,Anaconda,,,,7023231.0
umap-learn,,0.5.3,,,,,Uniform Manifold Approximation and Projection,BSD,PyPI,801339.0
unicodedata2,,15.0.0,14.0.0,,,,,,,
update-checker,,0.18.0,,,,,A python module that will check for package updates.,Simplified BSD License,PyPI,763571.0
uri-template,,1.3.0,1.2.0,,,,,,,5701812.0
urwid,,2.1.2,,,,,A full-featured console (xterm et al.) user interface library,LGPL,PyPI,567402.0
urwid-readline,,0.13,,,,,,,,91948.0
uvicorn,,0.22.0,,,,,,,,11467067.0
uvloop,,0.17.0,,Ultra fast implementation of asyncio event loop on top of libuv.,MIT OR Apache-2.0,Anaconda,,,,4427226.0
vaex,,4.16.0,,,,,,,,
vaex-astro,,0.9.3,,,,,,,,
vaex-core,,4.16.1,,,,,,,,
vaex-hdf5,,0.14.1,,,,,,,,
vaex-jupyter,,0.8.1,,,,,,,,
vaex-ml,,0.18.1,,,,,,,,
vaex-server,,0.8.1,,,,,,,,
vaex-viz,,0.5.4,,,,,,,,
vecstack,,0.4.0,,,,,Python package for stacking (machine learning technique),MIT,PyPI,
virtualenv,,20.21.0,,Virtual Python Environment builder,MIT,Anaconda,,,,64746929.0
visions,,0.7.5,,,,,,,,897556.0
vowpalwabbit,,9.8.0,,,,,Vowpal Wabbit Python package,BSD 3-Clause License,PyPI,146244.0
vtk,,9.2.6,,,,,"VTK is an open-source toolkit for 3D computer graphics, image processing, and visualization",BSD,PyPI,147345.0
wandb,,0.15.5,,,,,,,,2414536.0
watchfiles,,0.19.0,,,,,,,,2296423.0
wavio,,0.0.7,,,,,A Python module for reading and writing WAV files using numpy arrays.,BSD,PyPI,
websockets,,11.0.3,,,,,,,,13369625.0
wfdb,,4.1.2,,,,,The WFDB Python Toolbox,MIT,PyPI,
whatthepatch,,1.0.5,,What The Patch!? is a library for both parsing and applying patch files,MIT,Anaconda,,,,218808.0
witwidget,,1.8.1,,,,,,,,
woodwork,,0.24.0,,,,,,,,
wordsegment,,1.3.1,,,,,English word segmentation.,Apache 2.0,PyPI,
wurlitzer,,3.0.3,,Capture C-level stdout/stderr in Python,MIT,Anaconda,,,,242171.0
xvfbwrapper,,0.2.9,,,,,run headless display inside X virtual framebuffer (Xvfb),MIT,PyPI,101062.0
xxhash,,3.2.0,3.2.0,Extremely fast hash algorithm,BSD-2-Clause,Anaconda,Python binding for xxHash,BSD,PyPI,5024025.0
y-py,,0.5.9,,Python bindings for the Rust port of Yjs,MIT,Anaconda,,,,546109.0
yapf,,0.40.1,,A formatter for Python files,Apache 2.0,Anaconda,,,,3733024.0
ydata-profiling,,4.3.1,,,,,,,,612427.0
ypy-websocket,,0.8.2,,WebSocket connector for Ypy,MIT,Anaconda,,,,999769.0
zstandard,,0.19.0,,,,,,,,2818662.0
Brlapi,,,0.8.3,,,,,,,
Brotli,,,1.0.9,,,,,,,
Django,,,3.2.19,,,,,,,
PPOCRLabel,,,2.1.3,,,,,,,
PyMuPDF,,,1.19.0,,,,,,,
PyNaCl,,,1.5.0,,,,,,,
PyPDF4,,,1.27.0,,,,,,,
PyQt5,,,5.15.9,,,,,,,
PyQt5-Qt5,,,5.15.2,,,,,,,
PyQt5-sip,,,12.12.1,,,,,,,
apturl,,,0.5.2,,,,,,,
asgiref,,,3.7.2,,,,,,,13433475.0
astor,,,0.8.1,,,,Read/rewrite/write Python ASTs,BSD-3-Clause,PyPI,5186055.0
attr,,,0.3.1,,,,,,,404794.0
attrdict,,,2.0.1,,,,,,,754999.0
azure-core,,,1.27.1,,,,,,,57491721.0
azure-storage-blob,,,12.16.0,,,,,,,38627214.0
bce-python-sdk,,,0.8.83,,,,,,,93777.0
bcrypt,,,3.2.0,Modern password hashing for your software and your servers,Apache-2.0,Anaconda,,,,35856006.0
beniget,,,0.4.1,,,,,,,153291.0
boto,,,2.49.0,,,,,,,7982483.0
boxing,,,0.1.4,,,,,,,
command-not-found,,,0.3,,,,,,,
coreapi,,,2.3.3,,,,,,,1597913.0
coreschema,,,0.0.4,,,,,,,1595384.0
croniter,,,1.0.15,,,,,,,10669548.0
cssselect,,,1.2.0,CSS Selectors for Python,BSD 3-Clause,Anaconda,,,,3915878.0
cssutils,,,2.7.1,,,,,,,1238374.0
cupshelpers,,,1.0,,,,,,,
defer,,,1.0.6,,,,,,,
distro-info,,,1.1build1,,,,,,,
django-annoying,,,0.10.6,,,,,,,
django-cors-headers,,,3.6.0,,,,,,,3425510.0
django-debug-toolbar,,,3.2.1,,,,,,,1567091.0
django-extensions,,,3.1.0,,,,,,,2105446.0
django-filter,,,2.4.0,,,,,,,2624692.0
django-model-utils,,,4.1.1,,,,,,,842888.0
django-ranged-fileresponse,,,0.1.2,,,,,,,
django-rest-swagger,,,2.2.0,,,,,,,299657.0
django-rq,,,2.5.1,,,,,,,149298.0
django-storages,,,1.12.3,,,,,,,1902709.0
django-user-agents,,,0.4.0,,,,,,,193506.0
djangorestframework,,,3.13.1,,,,,,,5304942.0
drf-dynamic-fields,,,0.3.0,,,,,,,
drf-flex-fields,,,0.9.5,,,,,,,
drf-generators,,,0.3.0,,,,,,,
drf-yasg,,,1.20.0,,,,,,,1437948.0
duplicity,,,0.8.21,,,,,,,
expiringdict,,,1.2.2,,,,,,,1545803.0
fire,,,0.5.0,,,,,,,6268390.0
flask-babel,,,3.1.0,,,,,,,2200616.0
fs,,,2.4.12,,,,,,,1661838.0
google-cloud-appengine-logging,,,1.1.0,,,,,,,6429338.0
google-cloud-audit-log,,,0.2.0,,,,,,,3820443.0
google-cloud-logging,,,2.7.2,,,,,,,5678193.0
httpcore,,,0.17.2,,,,,,,18912444.0
httpx,,,0.24.1,,,,,,,15181220.0
ijson,,,3.2.1,,,,Iterative JSON parser with a standard Python iterator interface,BSD,PyPI,5375003.0
inflection,,,0.5.1,A port of Ruby on Rails inflector to Python,MIT,Anaconda,,,,7609318.0
isodate,,,0.6.1,,,,,,,65309492.0
itypes,,,1.2.0,,,,,,,1594742.0
jupyter,,,1.0.0,Jupyter metapackage. Install all the Jupyter components in one go.,BSD-3-Clause,Anaconda,,,,3237099.0
label-studio,,,1.8.0,,,,,,,
label-studio-converter,,,0.0.53,,,,,,,
label-studio-tools,,,0.0.2,,,,,,,
language-selector,,,0.1,,,,,,,
launchdarkly-server-sdk,,,7.5.0,,,,,,,1380416.0
lmdb,,,1.4.1,,,,,,,1812703.0
lockfile,,,0.12.2,Platform-independent file locking module,MIT,Anaconda,,,,14782657.0
louis,,,3.20.0,,,,,,,
macaroonbakery,,,1.3.1,,,,,,,
monotonic,,,1.6,,,,An implementation of time.monotonic() for Python 2 & < 3.3,Apache,PyPI,4932267.0
netifaces,,,0.11.0,,,,,,,2399534.0
nvidia-cublas-cu11,,,11.10.3.66,,,,,,,4762242.0
nvidia-cuda-cupti-cu11,,,11.7.101,,,,,,,3126590.0
nvidia-cuda-nvrtc-cu11,,,11.7.99,,,,,,,4725566.0
nvidia-cuda-runtime-cu11,,,11.7.99,,,,,,,4735000.0
nvidia-cudnn-cu11,,,8.5.0.96,,,,,,,4804636.0
nvidia-cufft-cu11,,,10.9.0.58,,,,,,,3110596.0
nvidia-curand-cu11,,,10.2.10.91,,,,,,,3098610.0
nvidia-cusolver-cu11,,,11.4.0.1,,,,,,,3107984.0
nvidia-cusparse-cu11,,,11.7.4.91,,,,,,,3108940.0
nvidia-nccl-cu11,,,2.14.3,,,,,,,3100491.0
nvidia-nvtx-cu11,,,11.7.91,,,,,,,3087878.0
openapi-codec,,,1.3.2,,,,,,,326406.0
ordered-set,,,4.0.2,,,,,,,8935138.0
paddle-bfloat,,,0.1.7,,,,,,,135743.0
paddleocr,,,2.6.1.3,,,,,,,
paddlepaddle,,,2.5.0,,,,,,,120395.0
paramiko,,,2.9.3,SSH2 protocol library,LGPL-2.1-or-later,Anaconda,,,,38980469.0
pdf2docx,,,0.5.6,,,,,,,
pdfminer.six,,,20221105,,,,,,,
ply,,,3.11,Python Lex-Yacc,BSD 3-clause,Anaconda,,,,24626445.0
premailer,,,3.10.0,,,,,,,756560.0
psycopg2-binary,,,2.9.6,,,,,,,36636360.0
py,,,1.10.0,,,,,,,30719442.0
pyRFC3339,,,1.1,,,,,,,
pycairo,,,1.20.1,,,,Python interface for cairo,,PyPI,1101053.0
pycups,,,2.0.1,,,,,,,
pymacaroons,,,0.13.0,,,,,,,
python-debian,,,0.1.43ubuntu1,,,,,,,110463.0
python-docx,,,0.8.11,,,,,,,2848197.0
python-xlib,,,0.29,,,,,,,179866.0
pythran,,,0.10.0,,,,,,,161862.0
pyttsx3,,,2.90,,,,,,,85101.0
pyxdg,,,0.27,PyXDG contains implementations of freedesktop.org standards in python.,GNU Lesser General Public v2 (LGPLv2),Anaconda,,,,316902.0
rarfile,,,4.0,,,,,,,303739.0
redis,,,3.5.3,Advanced key-value cache and store,3-clause BSD,Anaconda,,,,24090362.0
reportlab,,,3.6.8,The Reportlab Toolkit,BSD-3-Clause,Anaconda,,,,2741563.0
rq,,,1.10.1,,,,,,,798260.0
rules,,,2.2,,,,,,,88885.0
safeeyes,,,2.1.6,,,,,,,
screen-resolution-extra,,,0.0.0,,,,,,,
sklearn,,,0.0.post5,,,,A set of python modules for machine learning and data mining,UNKNOWN,PyPI,4353420.0
sounddevice,,,0.4.6,,,,,,,1004424.0
ssh-import-id,,,5.11,,,,,,,
systemd-python,,,234,,,,,,,156262.0
trash-cli,,,0.23.2.13.2,,,,,,,
typing,,,3.7.4.3,"Type Hints for Python - backport for Python
    ",None,Anaconda,,,,8143163.0
ua-parser,,,0.16.1,,,,,,,3199418.0
ubuntu-advantage-tools,,,8001,,,,,,,
ubuntu-drivers-common,,,0.0.0,,,,,,,
ufoLib2,,,0.13.1,,,,,,,
ufw,,,0.36.1,,,,,,,
unattended-upgrades,,,0.1,,,,,,,
usb-creator,,,0.3.7,,,,,,,
user-agents,,,2.2.0,,,,,,,2297159.0
visualdl,,,2.5.3,,,,,,,131792.0
xdg,,,5,,,,,,,87334.0
xkit,,,0.0.0,,,,,,,
xmljson,,,0.2.0,,,,,,,506174.0
_ipyw_jlab_nb_ext_conf,,,,A configuration metapackage for enabling Anaconda-bundled jupyter extensions,BSD,Anaconda,,,,
_libgcc_mutex,,,,Mutex for libgcc and libgcc-ng,None,Anaconda,,,,
_openmp_mutex,,,,OpenMP Implementation Mutex,BSD-3-Clause,Anaconda,,,,
abseil-cpp,,,,Abseil Common Libraries (C++),Apache-2.0,Anaconda,,,,
agate,,,,A data analysis library that is optimized for humans instead of machines.,MIT,Anaconda,,,,3072887.0
agate-dbf,,,,agate-dbf adds read support for dbf files to agate.,MIT,Anaconda,,,,141294.0
agate-excel,,,,agate-excel adds read support for Excel files (xls and xlsx) to agate.,MIT,Anaconda,,,,144238.0
anaconda-clean,,,,Delete Anaconda configuration files,BSD-3-Clause,Anaconda,,,,
anaconda-navigator,,,,Anaconda Navigator,"proprietary - Continuum Analytics, Inc.",Anaconda,,,,
anaconda-project,,,,"Tool for encapsulating, running, and reproducing data science projects",BSD-3-Clause,Anaconda,,,,
ansi2html,,,,Convert text with ANSI color codes to HTML or to LaTeX.,LGPL-3.0-or-later,Anaconda,,,,1341972.0
ant,,,,Java build tool,Apache 2.0,Anaconda,,,,
anyqt,,,,PyQt4/PyQt5 compatibility layer.,GPL-3.0-or-later,Anaconda,,,,
apptools,,,,application tools,BSD 3-clause,Anaconda,,,,
argcomplete,,,,Bash tab completion for argparse,Apache-2.0,Anaconda,,,,17996997.0
arrow-cpp,,,,C++ libraries for Apache Arrow,Apache-2.0,Anaconda,,,,
asyncpg,,,,A fast PostgreSQL Database Client Library for Python/asyncio.,Apache-2.0,Anaconda,,,,1664283.0
asyncpgsa,,,,A fast PostgreSQL Database Client Library for Python/asyncio.,Apache 2.0,Anaconda,,,,
atomicwrites,,,,Atomic file writes,MIT,Anaconda,,,,4577707.0
automake,,,,Tool for automatically generating Makefile.in files compliant with the GNU Coding Standards.,GPL-2.0-or-later,Anaconda,,,,
automat,,,,self-service finite-state machines for the programmer on the go,MIT,Anaconda,,,,2106631.0
autovizwidget,,,,AutoVizWidget: An Auto-Visualization library for pandas dataframes,BSD-3-Clause,Anaconda,,,,
aws-c-common,,,,"Core c99 package for AWS SDK for C. Includes cross-platform primitives, configuration, data structures, and error handling.",Apache-2.0,Anaconda,,,,
aws-c-event-stream,,,,C99 implementation of the vnd.amazon.eventstream content-type.,Apache-2.0,Anaconda,,,,
aws-checksums,,,,Cross-Platform HW accelerated CRC32c and CRC32 with fallback to efficient SW implementations. C interface with language bindings for each of our SDKs.,Apache-2.0,Anaconda,,,,
aws-sdk-cpp,,,,C++ library that makes it easy to integrate C++ applications with AWS services,Apache-2.0,Anaconda,,,,
babel,,,,Utilities to internationalize and localize Python applications,BSD-3-Clause,Anaconda,,,,16619243.0
backports.os,,,,Backport of new features in Python's os module,Python Software Foundation,Anaconda,,,,
backports.weakref,,,,Backport of new features in Python's weakref module,Python-2.0,Anaconda,,,,
bandersnatch,,,,PyPI mirror client according to PEP 381,Academic Free License,Anaconda,,,,
basemap,,,,Plot on map projections using matplotlib,MIT,Anaconda,,,,
binaryornot,,,,Ultra-lightweight pure Python package to check if a file is binary or text.,BSD-3-Clause,Anaconda,,,,1986630.0
bkcharts,,,,High level chart types built on top of Bokeh,BSD-3-Clause,Anaconda,,,,
black,,,,The Uncompromising Code Formatter,MIT,Anaconda,,,,17881722.0
blas,,,,Linear Algebra PACKage,BSD-3-Clause,Anaconda,,,,
blosc,,,,"A blocking, shuffling and loss-less compression library that can be faster than `memcpy()`",BSD-3-Clause,Anaconda,,,,106970.0
boost,,,,Free peer-reviewed portable C++ source libraries.,BSL-1.0,Anaconda,,,,
boost-cpp,,,,Free peer-reviewed portable C++ source libraries.,BSL-1.0,Anaconda,,,,
bottlechest,,,,fast NumPy array functions specialized for use in Orange,BSD,Anaconda,,,,
bottleneck,,,,Fast NumPy array functions written in Cython.,BSD-2-Clause,Anaconda,,,,556003.0
brotli,,,,Brotli compression format,MIT,Anaconda,,,,5302511.0
brotli-bin,,,,Brotli compression format,MIT,Anaconda,,,,
brunsli,,,,Practical JPEG Repacker,MIT,Anaconda,,,,
bsdiff4,,,,binary diff and patch using the BSDIFF4-format,BSD,Anaconda,,,,
btrees,,,,scalable persistent object containers,ZPL 2.1,Anaconda,,,,162647.0
bz2file,,,,Read and write bzip2-compressed files.,Apache Software,Anaconda,,,,734805.0
bzip2,,,,high-quality data compressor,bzip2,Anaconda,,,,
c-ares,,,,"This is c-ares, an asynchronous resolver library",MIT,Anaconda,,,,
c-blosc2,,,,"A simple, compressed, fast and persistent data store library for C",BSD-3-Clause,Anaconda,,,,
ca-certificates,,,,Certificates for use with other packages.,MPL-2.0,Anaconda,,,,
cached-property,,,,A decorator for caching properties in classes.,BSD-3-Clause,Anaconda,,,,10975117.0
capturer,,,,Easily capture stdout/stderr of the current process and subprocesses.,MIT,Anaconda,,,,
cartopy,,,,A library providing cartographic tools for python,LGPL-3.0-or-later,Anaconda,,,,
cfitsio,,,,A library for reading and writing FITS files,Other,Anaconda,,,,
chainer,,,,A flexible framework of neural networks,MIT License,Anaconda,,,,
chameleon,,,,HTML/XML template engine for Python,Repoze,Anaconda,,,,
charls,,,,CharLS is a C++ implementation of the JPEG-LS standard for lossless and near-lossless image compression and decompression. JPEG-LS is a low-complexity image compression standard that matches JPEG 2000 compression ratios.,BSD-3-Clause,Anaconda,,,,
cherrypy,,,,Object-Oriented HTTP framework,BSD-3-Clause,Anaconda,,,,1013010.0
chest,,,,Simple on-disk dictionary,BSD 3-Clause,Anaconda,,,,
colander,,,,"A serialization, deserialization, and validation library",BSD-like,Anaconda,,,,
conda-build,,,,tools for building conda packages,BSD-3-Clause,Anaconda,,,,
conda-env,,,,Tools for interacting with conda environments.,BSD 3-Clause,Anaconda,,,,
conda-verify,,,,tool for validating conda recipes and conda packages,BSD 3-Clause,Anaconda,,,,
configargparse,,,,A drop-in replacement for argparse that allows options to also be set via config files and/or environment variables.,MIT,Anaconda,,,,2661237.0
configobj,,,,"Config file reading, writing and validation.",BSD License,Anaconda,,,,2389598.0
console_shortcut,,,,Anaconda Powershell Prompt,BSD,Anaconda,,,,
constantly,,,,Symbolic constants in Python,MIT,Anaconda,,,,2065341.0
constructor,,,,create installer from conda packages,BSD-3-Clause,Anaconda,,,,
cookiecutter,,,,"A command-line utility that creates projects from cookiecutters (project templates), e.g. creating a Python package project from a Python package project template.",BSD-3-Clause,Anaconda,,,,2139480.0
cornice,,,,build and document Web Services with Pyramid,MPL 2.0,Anaconda,,,,
coverage,,,,Code coverage measurement for Python,Apache-2.0,Anaconda,,,,49066870.0
csvkit,,,,"A suite of command-line tools for working with CSV, the king of tabular file formats.",MIT,Anaconda,,,,158901.0
cubes,,,,A light-weight Python OLAP framework for data warehouses,MIT,Anaconda,,,,
cudatoolkit,,,,CUDA Toolkit - Including CUDA runtime and headers,NVIDIA End User License Agreement,Anaconda,,,,
cudnn,,,,NVIDIA's cuDNN deep neural network acceleration library,Proprietary,Anaconda,,,,
curl,,,,tool and library for transferring data with URL syntax,curl,Anaconda,,,,
cvxcanon,,,,Low-level library to perform the matrix building step in CVXPY,GPL3,Anaconda,,,,
dal,,,,Intel® oneDAL runtime libraries,Intel Simplified Software License,Anaconda,,,,
dask-core,,,,Parallel Python with task scheduling,BSD-3-Clause,Anaconda,,,,
dask-glm,,,,Generalized Linear Models in Dask,BSD-3-Clause,Anaconda,,,,119699.0
dask-ml,,,,Distributed and parallel machine learning using dask.,BSD-3-Clause,Anaconda,,,,197411.0
dask-searchcv,,,,Tools for doing hyperparameter search with Scikit-Learn and Dask,BSD-3-Clause,Anaconda,,,,
datrie,,,,"Super-fast, efficiently stored Trie for Python, uses libdatrie",LGPLv2,Anaconda,,,,
db,,,,The Berkeley DB embedded database system.,AGPL-3.0-only,Anaconda,,,,
dbf,,,,"Pure python package for reading/writing dBase, FoxPro, and Visual FoxPro .dbf files (including memos)",BSD-3-Clause,Anaconda,,,,91417.0
dbus,,,,Simple message bus system for applications to talk to one another,GPL2,Anaconda,,,,
diff-match-patch,,,,Diff Match Patch is a high-performance library in multiple languages that manipulates plain text,Apache-2.0,Anaconda,,,,879998.0
django,,,,"A high-level Python Web framework that encourages rapid development and clean, pragmatic design.",BSD-3-Clause AND PSF-2.0,Anaconda,,,,9488469.0
dnspython,,,,DNS toolkit,ISC,Anaconda,,,,21838200.0
dropbox,,,,Official Dropbox API Client,MIT,Anaconda,,,,930433.0
ecdsa,,,,ECDSA cryptographic signature library (pure python),MIT,Anaconda,,,,6208075.0
elasticsearch,,,,Python client for Elasticsearch,Apache-2.0,Anaconda,,,,13499985.0
elasticsearch-async,,,,Async backend for elasticsearch-py,Apache 2.0,Anaconda,,,,
elasticsearch-dsl,,,,Higher-level Python client for Elasticsearch,Apache-2.0,Anaconda,,,,2389413.0
enaml,,,,Declarative DSL for building rich user interfaces in Python,BSD-3-Clause,Anaconda,,,,
envisage,,,,extensible application framework,BSD-3-clause,Anaconda,,,,
et_xmlfile,,,,An implementation of lxml.xmlfile for the standard library,MIT AND PSF-2.0,Anaconda,,,,
expat,,,,Expat XML parser library in C,MIT,Anaconda,,,,
fastparquet,,,,Python interface to the parquet format,Apache-2.0,Anaconda,,,,3504881.0
feedparser,,,,parse feeds in Python,OSI Approved,Anaconda,,,,2044167.0
fiona,,,,Fiona reads and writes spatial data files,BSD-3-Clause,Anaconda,,,,5369697.0
flask,,,,A simple framework for building complex web applications.,BSD-3-Clause,Anaconda,,,,80600277.0
flask-cors,,,,A Flask extension adding a decorator for CORS support,MIT,Anaconda,,,,5396052.0
flask-login,,,,User session management for Flask,MIT,Anaconda,,,,4521317.0
flask-socketio,,,,Socket.IO integration for Flask applications,MIT,Anaconda,,,,759713.0
flask-wtf,,,,Simple integration of Flask and WTForms,BSD-3-Clause,Anaconda,,,,4947083.0
fontconfig,,,,A library for configuring and customizing font access.,MIT,Anaconda,,,,
freetds,,,,"FreeTDS is a free implementation of Sybase's DB-Library, CT-Library, and ODBC libraries",LGPL-2.0,Anaconda,,,,
freetype,,,,"A Free, High-Quality, and Portable Font Engine",GPL-2-only and LicenseRef-FreeType,Anaconda,,,,
fuel,,,,data pipeline framework for machine learning,MIT License,Anaconda,,,,
furl,,,,URL manipulation made simple.,PUBLIC-DOMAIN,Anaconda,,,,1362882.0
gdal,,,,The Geospatial Data Abstraction Library (GDAL),MIT,Anaconda,,,,204023.0
geos,,,,Geometry Engine - Open Source,LGPL-2.1,Anaconda,,,,
gevent-websocket,,,,"Websocket handler for the gevent pywsgi server, a Python network library",Apache,Anaconda,,,,333879.0
gflags,,,,A C++ library that implements commandline flags processing.,BSD 3-Clause,Anaconda,,,,
giflib,,,,Library for reading and writing gif images,MIT,Anaconda,,,,
git,,,,distributed version control system,GPL-2.0-or-later and LGPL-2.1-or-later,Anaconda,,,,
