package_name,version
proto-plus,1.22.2
protobuf,3.20.3
psutil,5.9.0
psycopg2-binary,2.9.6
ptyprocess,0.7.0
pure-eval,0.2.2
py,1.10.0
pyRFC3339,1.1
pyarrow,12.0.1
pyasn1,0.5.0
pyasn1-modules,0.3.0
pycairo,1.20.1
pyclipper,1.3.0.post4
pycparser,2.21
pycryptodome,3.18.0
pycups,2.0.1
pydantic,1.10.9
pymacaroons,0.13.0
pyparsing,2.4.7
pypdf,3.11.0
pyrsistent,0.19.3
python-apt,2.4.0+ubuntu1
python-dateutil,2.8.2
python-debian,0.1.43ubuntu1
python-docx,0.8.11
python-json-logger,2.0.7
python-xlib,0.29
pythran,0.10.0
pyttsx3,2.90
pytz,2023.3
pyxdg,0.27
pyzmq,25.1.0
qtconsole,5.4.3
rapidfuzz,3.1.1
rarfile,4.0
redis,3.5.3
regex,2023.6.3
reportlab,3.6.8
requests,2.25.1
rfc3339-validator,0.1.4
rfc3986-validator,0.1.1
rq,1.10.1
rsa,4.9
ruamel.yaml,0.17.32
ruamel.yaml.clib,0.2.7
rules,2.2
s3transfer,0.3.7
safeeyes,2.1.6
safetensors,0.3.1
scikit-image,0.21.0
scipy,1.8.0
screen-resolution-extra,0.0.0
semver,2.13.0
sentencepiece,0.1.99
sentry-sdk,1.25.1
setuptools,59.6.0
shapely,2.0.1
simplejson,3.19.1
six,1.16.0
sklearn,0.0.post5
sniffio,1.3.0
sounddevice,0.4.6
soundfile,0.12.1
soupsieve,2.4.1
sqlparse,0.4.4
ssh-import-id,5.11
stack-data,0.6.2
sympy,1.9
systemd-python,234
termcolor,2.3.0
terminado,0.17.1
testpath,0.5.0
tifffile,2023.4.12
tinycss2,1.2.1
tokenizers,0.13.3
torch,2.0.1
torchaudio,2.0.2
tornado,6.3.2
tqdm,4.65.0
traitlets,5.9.0
transformers,4.30.2
trash-cli,0.23.2.13.2
triton,2.0.0
typing,3.7.4.3
typing-extensions,4.6.3
ua-parser,0.16.1
ubuntu-advantage-tools,8001
ubuntu-drivers-common,0.0.0
ufoLib2,0.13.1
ufw,0.36.1
ujson,5.8.0
unattended-upgrades,0.1
unicodedata2,14.0.0
uri-template,1.2.0
uritemplate,4.1.1
urllib3,1.26.16
usb-creator,0.3.7
user-agents,2.2.0
visualdl,2.5.3
wadllib,1.3.6
wcwidth,0.2.6
webcolors,1.13
webencodings,0.5.1
websocket-client,1.5.2
wheel,0.40.0
widgetsnbextension,4.0.7
xdg,5
xkit,0.0.0
xlrd,1.2.0
xmljson,0.2.0
xxhash,3.2.0
yarl,1.9.2
zipp,1.0.0
